gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
18;18;B6;1942;Druk in zwart, blauw, groen en twee tinten bruin;-34025;29250;-31650;29250;-34025;27375;-31650;27375;402;10219;12799;10284;453;397;12848;472;B00000025275;13255;10622;zwart,blauw,groen,twee tinten bruin
19;19;B6;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin. Geannoteerd.;-34025;29250;-31650;29250;-34025;27375;-31650;27375;414;10233;12816;10236;420;417;12811;433;B00000025276;13190;10654;zwart,blauw,groen,twee tinten bruin
20;20;B6;1942-1953;Druk in zwart en blauw;-34025;29250;-31650;29250;-34025;27375;-31650;27375;498;10318;12903;10309;486;515;12897;511;B00000025277;13417;10751;zwart,blauw
36;36;C5;1942-1953;Druk in zwart. Geannoteerd;-36400;27375;-34025;27375;-36400;25500;-34025;25500;524;10309;12970;10332;544;495;12998;531;B00000025293;13464;10817;zwart
45;45;C7;1943-1955;Druk in zwart;-31650;27375;-29275;27375;-31650;25500;-29275;25500;563;10371;12992;10371;568;538;12986;553;B00000025302;13499;10866;zwart
99;99;F4;1943-1956;Druk in zwart;-38775;21750;-36400;21750;-38775;19875;-36400;19875;476;10271;12952;10267;491;461;12953;468;B00000025355;13433;10752;zwart
151;151;H3;1950;Druk in zwart, blauw, groen, bruin en grijs;-41150;18000;-38775;18000;-41150;16125;-38775;16125;418;9247;11624;9248;429;404;11635;408;B00000025407;12000;9577;zwart,blauw,groen,twee tinten bruin
15;15;B5;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-36400;29250;-34025;29250;-36400;27375;-34025;27375;510;10346;12938;10292;478;521;12912;490;B00000025272;13448;10751;zwart,blauw,groen,twee tinten bruin
26;26;B8;1944;Druk in zwart en blauw;-29275;29250;-26900;29250;-29275;27375;-26900;27375;459;10286;12875;10290;463;462;12884;475;B00000025283;13304;10654;zwart,blauw
27;27;B8;1944;Druk in zwart, blauw, groen en twee tinten bruin;-29275;29250;-26900;29250;-29275;27375;-26900;27375;459;10244;12873;10237;454;424;12871;425;B00000025284;13302;10622;zwart,blauw,groen,twee tinten bruin
48;48;C8;1944;Druk in zwart en blauw;-29275;27375;-26900;27375;-29275;25500;-26900;25500;401;10222;12821;10274;439;401;12860;462;B00000025305;13287;10686;zwart,blauw
49;49;C8;1944;Druk in zwart, blauw, groen en twee tinten bruin;-29275;27375;-26900;27375;-29275;25500;-26900;25500;457;10243;12884;10262;471;423;12896;449;B00000025306;13336;10702;zwart,blauw,groen,twee tinten bruin
51;51;C8;1944-1955;Druk in zwart. Geannoteerd;-29275;27375;-26900;27375;-29275;25500;-26900;25500;507;10278;12930;10305;526;484;12951;514;B00000025308;13416;10784;zwart
119;119;G3;1943;Druk in zwart en blauw;-41150;19875;-38775;19875;-41150;18000;-38775;18000;441;9247;11629;9215;417;405;11608;384;B00000025375;12003;9605;zwart,blauw
121;121;G4;1944;Druk in zwart en blauw;-38775;19875;-36400;19875;-38775;18000;-36400;18000;429;9243;11620;9217;416;413;11596;398;B00000025377;12015;9625;zwart,blauw
123;123;G4;1944-1950;Druk in zwart;-38775;19875;-36400;19875;-38775;18000;-36400;18000;412;9213;11609;9209;414;374;11596;392;B00000025379;12015;9616;zwart
110;110;F6;1953;Druk in zwart;-34025;21750;-31650;21750;-34025;19875;-31650;19875;483;9245;11688;9227;484;439;11694;433;B00000025366;12155;9692;zwart
111;111;F6;1953;Druk in zwart en blauw;-34025;21750;-31650;21750;-34025;19875;-31650;19875;413;9268;11636;9286;442;422;11664;454;B00000025367;12118;9644;zwart,blauw
2;2;B3;1944-1945;Druk in zwart;-41150;29250;-38775;29250;-41150;27375;-38775;27375;452;10269;12880;10242;459;445;12862;440;B00000025259;13284;10685;zwart
65;65;D7;1942;Druk in zwart en blauw;-31650;25500;-29275;25500;-31650;23625;-29275;23625;447;10222;12872;10238;467;451;12892;472;B00000025322;13300;10614;zwart,blauw
66;66;D7;1942;Druk in zwart, blauw, groen en twee tinten bruin;-31650;25500;-29275;25500;-31650;23625;-29275;23625;457;10201;12888;10216;478;427;12903;442;B00000025323;13304;10590;zwart,blauw,groen,twee tinten bruin
112;112;F6;1953;Druk in zwart, blauw, groen en twee tinten bruin;-34025;21750;-31650;21750;-34025;19875;-31650;19875;439;9256;11659;9269;469;415;11685;439;B00000025368;12106;9651;zwart,blauw,groen,twee tinten bruin
